code,iata,city,alias
ABJ,ABJ,Abidjan,
ABK,ABK,Kabri Dar,
ABL,ABL,Ambler,
ABM,ABM,"Bamaga, Queensland",
ABN,ABN,Albina,
ABO,ABO,Aboisso,
ABP,ABP,Atkamba,
ABQ,ABQ,Albuquerque,
ABR,ABR,Aberdeen,
ABS,ABS,Abu Simbel,
ABT,ABT,Al-Baha,
ABU,ABU,Atambua,
ABV,ABV,Abuja,
ABW,ABW,Abau,
ABX,ABX,Albury,
ABY,ABY,Albany,
ABZ,ABZ,Aberdeen,
ACB,ACB,Bellaire,
ACC,ACC,Accra,
ACD,ACD,Acandi,
ACE,ACE,Arrecife,
ACH,ACH,Altenrhein,
ACI,ACI,Alderney,
ACJ,ACJ,Anuradhapura,
ACK,ACK,Nantucket,
ACL,ACL,Aguaclara,
ACM,ACM,Arica,
ACN,ACN,Ciudad Acuna,
ACO,ACO,Ascona,
ACP,ACP,Sahand,
ACR,ACR,Araracuara,
ACS,ACS,Achinsk,
ACT,ACT,Waco,
ACU,ACU,Achutupo,
ACV,ACV,Arcata,
ACX,ACX,Xingyi,
ACY,ACY,Atlantic City,
ACZ,ACZ,Zabol,
ADA,ADA,Adana,
ADC,ADC,Andakombe,
ADD,ADD,Аддис-Абеба,
ADE,ADE,Aden,
ADF,ADF,Adiyaman,
ADG,ADG,Adrian,
ADI,ADI,Arandis,
ADJ,ADJ,Amman,
ADK,ADK,Adak Island,
ADL,ADL,Adelaide,
ADM,ADM,Ardmore,
ADN,ADN,Andes,
ADO,ADO,Andamooka,
ADP,ADP,Ampara,
ADQ,ADQ,Kodiak,
ADR,ADR,Andrews,
ADS,ADS,Dallas,
ADT,ADT,Ada,
ADU,ADU,Ardabil,
ADV,ADV,Andover,
ADW,ADW,Camp Springs,
ADX,ADX,St Andrews,
ADY,ADY,Alldays,
ADZ,ADZ,San Andres Island,
AEA,AEA,Abemama Atoll,
AED,AED,Aleneva,
AEG,AEG,Aek Godang,
AEH,AEH,Abecher,
AEI,AEI,Algeciras,
AEK,AEK,Aseki,
AEL,AEL,Albert Lea,
AEO,AEO,Aioun El Atrouss,
AEP,AEP,Buenos Aires,
AES,AES,Aalesund,
AET,AET,Allakaket,
AEU,AEU,Abu Musa,
AEX,AEX,"Alexandria, LA",
AEY,AEY,Akureyri,
AFA,AFA,San Rafael,
AFD,AFD,Port Alfred,
AFF,AFF,Colorado Springs,
AFI,AFI,Amalfi,
AFK,AFK,Ampara,
AFL,AFL,Alta Floresta,
AFN,AFN,Jaffrey,
AFO,AFO,Afton,
AFR,AFR,Afore,
AFT,AFT,Afutara,
AFW,AFW,"Fort Worth, TX",
AFY,AFY,Afyon,
AFZ,AFZ,Sabzevar,
AGA,AGA,Agadir,
AGB,AGB,Munich,
AGC,AGC,Pittsburgh,
AGD,AGD,Anggi,
AGE,AGE,Wangerooge,
AGF,AGF,Agen,
AGG,AGG,Angoram,
AGH,AGH,Angelholm/Helsingborg,
AGI,AGI,Wageningen,
AGJ,AGJ,Aguni,
AGK,AGK,Kagua,
AGL,AGL,Wanigela,
AGM,AGM,Tasiilaq,
AGN,AGN,Angoon,
AGO,AGO,Magnolia,
AGP,AGP,Малага,
AGQ,AGQ,Agrinion,
AGR,AGR,Agra,
AGS,AGS,Augusta,
AGT,AGT,Ciudad Del Este,
AGU,AGU,Aguascalientes,
AGV,AGV,Acarigua,
AGW,AGW,Agnew,
AGX,AGX,Agatti Island,
AGY,AGY,Argyle Downs,
AGZ,AGZ,Aggeneys,
AHA,AHA,Okinawa,
AHB,AHB,Abha,
AHC,AHC,Herlong,
AHD,AHD,Ardmore,
AHE,AHE,Ahe,
AHF,AHF,Arapahoe,
AHH,AHH,Amery,
AHI,AHI,Amahai,
AHL,AHL,Aishalton,
AHN,AHN,Athens,
AHO,AHO,Alghero,
AHS,AHS,Ahuas,
AHT,AHT,Amchitka,
AHU,AHU,Al Hoceima,
AHY,AHY,Ambatolahy,
AHZ,AHZ,Alpe D Huez,
AIA,AIA,Alliance,
AIB,AIB,Anita Bay,
AIC,AIC,"Airok, Ailinglaplap",
AID,AID,Anderson,
AIE,AIE,Aiome,
AIF,AIF,Assis,
AIG,AIG,Yalinga,
AIH,AIH,Aiambak,
AII,AII,Alisabieh,
AIK,AIK,Aiken,
AIL,AIL,Ailigandi,
AIM,AIM,Ailuk Island,
AIN,AIN,Wainwright,
AIO,AIO,Atlantic,
AIP,AIP,Ailinglapalap Island,
AIR,AIR,Aripuana,
AIS,AIS,Arorae Island,
AIT,AIT,Aitutaki,
AIU,AIU,Atiu Island,
AIV,AIV,Aliceville,
AIW,AIW,Ai-ais,
AIY,AIY,Atlantic City,
AIZ,AIZ,Kaiser/Lake Ozark,
AJA,AJA,Ajaccio,
AJF,AJF,Sakaka Al Jouf,
AJI,AJI,Agri,
AJJ,AJJ,Akjoujt,
AJK,AJK,Araak,
AJL,AJL,Aizawl,
AJN,AJN,Anjouan,
AJO,AJO,Aljouf,
AJR,AJR,Arvidsjaur,
AJS,AJS,Abreojos,
AJU,AJU,Aracaju,
AJY,AJY,Agades,
AKA,AKA,Ankang,
AKB,AKB,Atka,
AKC,AKC,Akron/Canton,
AKD,AKD,Akola,
AKE,AKE,Akieni,
AKF,AKF,Kufrah,
AKG,AKG,Anguganak,
AKH,AKH,Al Kharj,
AKI,AKI,Akiak,
AKJ,AKJ,Asahikawa,
AKK,AKK,Akhiok,
AKL,AKL,Auckland,
AKM,AKM,Zakouma,
AKN,AKN,King Salmon,
AKO,AKO,"Akron, CO",
AKP,AKP,Anaktuvuk,
AKQ,AKQ,Astraksetra,
AKR,AKR,Akure,
AKT,AKT,Akrotiri,
